=== Node 0/1 | Phase: pipeline | GPUs: [2, 3] ===
  REPO_DIR:    /mnt/cpfs/yurh/Infinigen-Sim
  [GPU3] SKIP  PhysXNet_PhysXnet/1011 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10141 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10144 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10145 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10150 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10156 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10153 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10151 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10146 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10147 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10155 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10148 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10158 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10159 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10154 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10152 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/1016 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10157 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10169 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10162 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10171 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10173 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10163 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10172 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10175 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10174 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10170 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10176 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10199 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10193 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10196 (already rendered)
  FAIL precompute PhysXNet/10560: 
============================================================
Processing PhysXNet/10560
  URDF: /mnt/cpfs/yurh/Infinigen-Sim/outputs/PhysXNet/10560/scene.urdf
  SKIP: no movable joints

  FAIL precompute PhysXNet/10226: otation (Y-up → Z-up + front)
  Normalized range: [-0.950, 0.950]
  FILTER joint joint_prismatic_0_1: prismatic 0.0371 = 0.0442 norm (< 0.05)
  SKIP: no joints with significant motion after filtering

  [GPU3] SKIP  PhysXNet_PhysXnet/10180 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10197 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10198 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10205 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10201 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10202 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10207 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10211 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10200 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10203 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10210 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10208 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10221 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10212 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10214 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10216 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10209 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10213 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10219 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10218 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10225 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10223 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10231 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10222 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10227 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10234 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10233 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10232 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10238 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10235 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10240 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10239 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10241 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10245 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10230 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10237 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10242 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10247 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10246 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10243 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10248 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10249 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10251 (already rendered)
